
2024/03/24 (00:49:31) | ===> btop++ v.1.3.2
2024/03/24 (00:49:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (00:52:30) | ===> btop++ v.1.3.2
2024/03/24 (00:52:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (03:28:29) | ===> btop++ v.1.3.2
2024/03/24 (03:28:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (10:38:53) | ===> btop++ v.1.3.2
2024/03/24 (10:38:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (11:26:12) | ===> btop++ v.1.3.2
2024/03/24 (11:26:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (19:39:56) | ===> btop++ v.1.3.2
2024/03/24 (19:39:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (21:47:52) | ===> btop++ v.1.3.2
2024/03/24 (21:47:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (21:49:01) | ===> btop++ v.1.3.2
2024/03/24 (21:49:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (22:00:45) | ===> btop++ v.1.3.2
2024/03/24 (22:00:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (22:17:43) | ===> btop++ v.1.3.2
2024/03/24 (22:17:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/24 (22:18:38) | ===> btop++ v.1.3.2
2024/03/24 (22:18:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/25 (00:49:34) | ===> btop++ v.1.3.2
2024/03/25 (00:49:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/25 (01:59:14) | ===> btop++ v.1.3.2
2024/03/25 (01:59:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/25 (02:02:52) | ===> btop++ v.1.3.2
